Titleofevent,artist,date,fb,geners,linkofstream,poster
"Harlem After Dark, Unplugged",Allan Harris,"Aug 22nd, 2020",https://www.facebook.com/TheAllanHarrisBand/,"Blues, Rnb-soul, R&b/soul, Folk, Americana, Soul, Jazz",Facebook,https://photos.bandsintown.com/thumb/8000828.jpeg
LIVING ZOOM SHOW,Say Hi,"Oct 8th, 2020",https://www.facebook.com/umuhoh,"Indie Rock, Alternative, Indie Pop",www.sayhitoyourmom.com,https://photos.bandsintown.com/thumb/7458004.jpeg
,Prateek,"Sep 27th, 2020",https://www.facebook.com/prateekmusic/,,bit.ly,https://photos.bandsintown.com/thumb/8988350.jpeg
"XII Festival Flautas del Mundo ""Online""","Christine Erlander Beard, flutist","Sep 26th, 2020",https://www.facebook.com/ChristineErlanderBeard/,Classical,worldflutesfestival.org,https://photos.bandsintown.com/thumb/10457459.jpeg
,the montreal royals,"Sep 21st, 2020",https://www.facebook.com/themontrealroyals,"Sundance, Thrash Metal, Jazz, Rock",Twitch,https://photos.bandsintown.com/thumb/8941860.jpeg
SDBC: Ancient Mahogany Gold 1 Year Anniversary,SassyBlack,"Sep 10th, 2020",https://www.facebook.com/sassyblackmusic/,Psychedelic Electronic Soul,www.sassyblack.live,https://photos.bandsintown.com/thumb/10481177.jpeg
Patreon Hangout,Emma O'Reilly,"Aug 31st, 2020",https://www.facebook.com/emmaormusic,"Classical, Pop Rock, Pop, Piano Pop, Alternative Rock, Theatrical, Folk",www.patreon.com,https://photos.bandsintown.com/thumb/8040180.jpeg
,Roses from Bones,"Sep 2nd, 2020",https://www.facebook.com/rosesfrombones,"Indie Rock, Folk Rock, Americana, Indie Folk, Folk",Twitch,https://photos.bandsintown.com/thumb/9946135.jpeg
,The Leshen,"Aug 22nd, 2020",https://www.facebook.com/theleshen/,"Forest Rock, Metal, Rock, Post-metal, Post-rock",Facebook,https://photos.bandsintown.com/thumb/10460600.jpeg
The Justin and Lauren Show,Justin Trawick,"Aug 30th, 2020",https://www.facebook.com/justintrawickmusic/,Americana,Facebook,https://photos.bandsintown.com/thumb/7196522.jpeg
Robbie Laws FB LIVE,The Robbie Laws Band,"Aug 28th, 2020",https://www.facebook.com/Robbie-Laws-Music-194847140589821/,"Early Texas And Chicago, Piedmont, Blues, Delta, Jump Swing",Facebook,https://photos.bandsintown.com/thumb/7260392.jpeg
Stephanie's Marshstream,Sylvie Simmons,"Aug 27th, 2020",,,themarsh.org,https://assets.bandsintown.com/images/fallbackImage.png
TJ Wilkins Live,TJ Wilkins & Complete Deliverance,"Aug 29th, 2020",,,msngr.com,https://photos.bandsintown.com/thumb/10479116.jpeg
8 Ball Aitken Rockin' Online,8 Ball Aitken,"Aug 19th, 2020",https://www.facebook.com/8ballaitkenmusic/,Swamp Blues,Facebook,https://photos.bandsintown.com/thumb/8734612.jpeg
,Jonah Miles Music,"Aug 21st, 2020",https://www.facebook.com/JonahMilesOfficial/,"Country Rock, Texas Country, Country, Pop, Rock",Twitch,https://photos.bandsintown.com/thumb/10029432.jpeg
,Lauren Akins,"Aug 21st, 2020",,,www.crowdcast.io,https://photos.bandsintown.com/thumb/10176932.jpeg
富士山河口湖音楽祭2020,Chiko MIYAGAWA,"Aug 19th, 2020",,,ongakusai.stellartheater.jp,https://photos.bandsintown.com/thumb/10481129.jpeg
,"Bobby Moderow, Jr.","Aug 17th, 2020",https://www.facebook.com/Bobby-Moderow-Jr-181919631865185/,"Country, Hawaiian",Facebook,https://photos.bandsintown.com/thumb/9082680.jpeg
,The Rheingans Sisters,"Oct 30th, 2020",,,Ents24,https://assets.bandsintown.com/images/fallbackImage.png
LIVING ZOOM SHOW,Say Hi,"Oct 7th, 2020",https://www.facebook.com/umuhoh,"Indie Rock, Alternative, Indie Pop",www.sayhitoyourmom.com,https://photos.bandsintown.com/thumb/7458004.jpeg
,Noam Vazana,"Jul 4th, 2021",https://www.facebook.com/noamvazana/,"Anti-folk, Crossover Jazz, Jazz, World Fusion",noam-vazana.com,https://photos.bandsintown.com/thumb/9020375.jpeg
LIVING ZOOM SHOW,Say Hi,"Oct 6th, 2020",https://www.facebook.com/umuhoh,"Indie Rock, Alternative, Indie Pop",www.sayhitoyourmom.com,https://photos.bandsintown.com/thumb/7458004.jpeg
,Regulo Caro,"Sep 26th, 2020",,Latin,www.eticket.mx,https://photos.bandsintown.com/thumb/8668242.jpeg
Jenny Reynolds Rap Sessions,Jenny Reynolds,"Sep 27th, 2020",https://www.facebook.com/austinjennyreynolds/,"Folk, Americana",Facebook,https://photos.bandsintown.com/thumb/8758985.jpeg
All Request Sunday,Tony Lucca,"Sep 20th, 2020",https://www.facebook.com/TonyLucca/,"Rock, Singer-songwriter",Facebook,https://photos.bandsintown.com/thumb/10131981.jpeg
Jenny Reynolds Rap Sessions,Jenny Reynolds,"Sep 13th, 2020",https://www.facebook.com/austinjennyreynolds/,"Folk, Americana",Facebook,https://photos.bandsintown.com/thumb/8758985.jpeg
,Wake Magnolia,"Aug 28th, 2020",https://www.facebook.com/WakeMagnolia,,Facebook,https://photos.bandsintown.com/thumb/8681990.jpeg
Phantom Phunk Live Stream MiniShow,Phantom Phunk,"Aug 27th, 2020",https://www.facebook.com/PH2Music/,"Rap, Alternative Hop, Hip Hop, Indie Rock",phantomphunk.streamlink.to,https://photos.bandsintown.com/thumb/9848314.jpeg
J.S. Bach: The Six Bach Cello Suites performed by Wendy Sutter. Part I,Wendy Sutter,"Aug 23rd, 2020",,,www.eventbrite.com,https://assets.bandsintown.com/images/fallbackImage.png
TIGRESS - Loud... But No Crowd Live!!,Tigress,"Aug 26th, 2020",https://www.facebook.com/TigressOfficial/,Rock,www.hotel-radio.com,https://photos.bandsintown.com/thumb/10453706.jpeg
"#DailyDash Live Stream @ Facebook, Instagram, Twitch, VK, YouTube & Mixcloud",Dash Berlin,"Aug 21st, 2020",https://www.facebook.com/DashBerlinOfficial1/,Music,Facebook,https://photos.bandsintown.com/thumb/10432132.jpeg
Jenny Reynolds Rap Sessions,Jenny Reynolds,"Aug 23rd, 2020",https://www.facebook.com/austinjennyreynolds/,"Folk, Americana",Facebook,https://photos.bandsintown.com/thumb/8758985.jpeg
,Nation Beat,"Aug 18th, 2020",https://www.facebook.com/Nation-Beat-10175932771/,"Forro, Funk, Second Line, Samba, World Music, Brass Band, Mardi Gras Music, Maracatu, Dance Bands, Brazilian-new Orleans Funk, Bossa Nova",Facebook,https://photos.bandsintown.com/thumb/9146319.jpeg
5@5 Instagram Live Show,Cynthia Lin,"Aug 19th, 2020",,,Instagram,https://photos.bandsintown.com/thumb/215336.jpeg
LIVING ZOOM SHOW,Say Hi,"Sep 30th, 2020",https://www.facebook.com/umuhoh,"Indie Rock, Alternative, Indie Pop",www.sayhitoyourmom.com,https://photos.bandsintown.com/thumb/7458004.jpeg
Crimes Against Folk Podcast featuring Carol Pacey & Andy Borunda,Carol Pacey & the Honey Shakers,"Aug 16th, 2020",https://facebook.com/CarolPaceyAndTheHoneyShakers/,Rock,Facebook,https://photos.bandsintown.com/thumb/8852223.jpeg
,Prateek,"Sep 13th, 2020",https://www.facebook.com/prateekmusic/,,bit.ly,https://photos.bandsintown.com/thumb/8988350.jpeg
Jenny Reynolds Rap Sessions,Jenny Reynolds,"Aug 16th, 2020",https://www.facebook.com/austinjennyreynolds/,"Folk, Americana",Facebook,https://photos.bandsintown.com/thumb/8758985.jpeg
Central Jersey Jazz Festival,Matthew Whitaker,"Sep 13th, 2020",https://www.facebook.com/officialmatthewwhitaker/,Jazz - Gospel - R&b - Classical,centraljerseyjazzfestival.com,https://photos.bandsintown.com/thumb/9263674.jpeg
,Sydney Wright,"Sep 6th, 2020",https://www.facebook.com/sydneywrightmusic/,,Facebook,https://photos.bandsintown.com/thumb/8940542.jpeg
Lockdown Festival 3: Grex Album Release,grex,"Sep 5th, 2020",https://www.facebook.com/Grexsounds/,"Psychedelic, Art Rock, Free Jazz",Facebook,https://photos.bandsintown.com/thumb/8392084.jpeg
,Voces8,"Sep 5th, 2020",https://www.facebook.com/VOCES8/,Classical Vocal Ensemble,Ents24,https://photos.bandsintown.com/thumb/8907127.jpeg
Sam Dumas,Sam Dumas,"Sep 5th, 2020",https://www.facebook.com/SHDMusic,Rock,YouTube,https://photos.bandsintown.com/thumb/10458646.jpeg
"LIVEfromthePANDEMIC, volume 3",Ross Freedman Music,"Aug 30th, 2020",,,Facebook,https://photos.bandsintown.com/thumb/6022058.jpeg
SCENES Media Live Session,Rachael Sage,"Aug 30th, 2020",https://facebook.com/rachaelsagepage,"Indie Folk, Folk, Pop",Facebook,https://photos.bandsintown.com/thumb/9477222.jpeg
,The Likes of Jeff Pittman,"Aug 30th, 2020",https://www.facebook.com/thelikesofjp/,Folk,Facebook,https://photos.bandsintown.com/thumb/9177651.jpeg
Chuck Brodsky Weekly Sunday Live Stream #13,Chuck Brodsky,"Aug 30th, 2020",https://www.facebook.com/chuckbrodsky/,"Storyteller, Folk, Singer-songwriter, Troubadour, Americana",YouTube,https://photos.bandsintown.com/thumb/8548492.jpeg
Sunday Sessions at 11AM EST on Facebook Live!,MY SILENT BRAVERY,"Aug 30th, 2020",https://facebook.com/mysilentbravery,"Alternative, Pop, Pop Rock, Rock",Facebook,https://photos.bandsintown.com/thumb/8034920.jpeg
At The Crib Fest,Kenny Mason,"Aug 22nd, 2020",,,onemusicfest.com,https://assets.bandsintown.com/images/fallbackImage.png
,The Swingles,"Aug 22nd, 2020",https://facebook.com/theswingles,Vocal,Ents24,https://photos.bandsintown.com/thumb/9193579.jpeg
Afternoon Delight,CHACHI,"Aug 24th, 2020",https://www.facebook.com/ChachiOfficial/,"Edm, House, Deep House, Electronic",Twitch,https://photos.bandsintown.com/thumb/7258859.jpeg
Wine Down Wednesday,Jah Movement,"Aug 19th, 2020",https://www.facebook.com/jahmovementband/,"Dancehall, Soca, Reggae, Hip Hop, Afro-beat, R&b",jahmovement.live,https://photos.bandsintown.com/thumb/9035860.jpeg
,Roses from Bones,"Aug 19th, 2020",https://www.facebook.com/rosesfrombones,"Indie Rock, Folk Rock, Americana, Indie Folk, Folk",Twitch,https://photos.bandsintown.com/thumb/9946135.jpeg
LIVING ZOOM SHOW,Say Hi,"Sep 29th, 2020",https://www.facebook.com/umuhoh,"Indie Rock, Alternative, Indie Pop",www.sayhitoyourmom.com,https://photos.bandsintown.com/thumb/7458004.jpeg
LIVING ZOOM SHOW,Say Hi,"Oct 5th, 2020",https://www.facebook.com/umuhoh,"Indie Rock, Alternative, Indie Pop",www.sayhitoyourmom.com,https://photos.bandsintown.com/thumb/7458004.jpeg
Peace day,Colé van dais,"Sep 21st, 2020",https://www.facebook.com/colevandais/,"Alternative Rock, Adult Contemporary, Pop, Rock, World Music, Indie, Jazz, African",www.colevandais.com,https://photos.bandsintown.com/thumb/9160409.jpeg
The Party Life (Radio Show) - EP 411,Dj Fuel,"Sep 10th, 2020",https://www.facebook.com/djfuelmusic/,"Tech House, House, Trance, House Music, Deep House, Progresive House, Progresive",bit.ly,https://photos.bandsintown.com/thumb/8686950.jpeg
"Modern Strangers ""Dangerous Fiction"" Record Release stream!",Modern Strangers (US),"Sep 26th, 2020",,"Indie Rock, Rock, Jangle Pop, Indie",YouTube,https://photos.bandsintown.com/thumb/9914673.jpeg
,Hey Baby Ke Pa So,"Sep 12th, 2020",,,sites.google.com,https://photos.bandsintown.com/thumb/9783772.jpeg
Album Rewind Wednesday,Tony Lucca,"Sep 2nd, 2020",https://www.facebook.com/TonyLucca/,"Rock, Singer-songwriter",Facebook,https://photos.bandsintown.com/thumb/10131981.jpeg
,"Bobby Moderow, Jr.","Aug 31st, 2020",https://www.facebook.com/Bobby-Moderow-Jr-181919631865185/,"Country, Hawaiian",Facebook,https://photos.bandsintown.com/thumb/9082680.jpeg
The Evening Booze with Chachi,CHACHI,"Aug 30th, 2020",https://www.facebook.com/ChachiOfficial/,"Edm, House, Deep House, Electronic",Twitch,https://photos.bandsintown.com/thumb/7258859.jpeg
Nick Drummond Band - Under the Stars LiveStream!,The Senate,"Aug 30th, 2020",https://www.facebook.com/The-Senate-17849979124/,"Rock, Folk, Acoustic Rock",Facebook,https://photos.bandsintown.com/thumb/10482424.jpeg
All Request Sunday,Tony Lucca,"Aug 30th, 2020",https://www.facebook.com/TonyLucca/,"Rock, Singer-songwriter",Facebook,https://photos.bandsintown.com/thumb/10131981.jpeg
Jenny Reynolds Rap Sessions,Jenny Reynolds,"Aug 30th, 2020",https://www.facebook.com/austinjennyreynolds/,"Folk, Americana",Facebook,https://photos.bandsintown.com/thumb/8758985.jpeg
,Lauren Akins,"Aug 24th, 2020",,,dma.org,https://photos.bandsintown.com/thumb/10176932.jpeg
Fusion: The Next Level,League Of Lights,"Aug 29th, 2020",https://www.facebook.com/leagueoflightsofficial,"Dream Pop, Electronic Rock",Facebook,https://photos.bandsintown.com/thumb/10430223.jpeg
CSD Erfurt,oskar's mum,"Aug 29th, 2020",,"Psychedelic Rock, Alternative, Indie Pop",kommtnoch.de,https://assets.bandsintown.com/images/fallbackImage.png
,DJ Du Jour,"Aug 24th, 2020",https://www.facebook.com/djdujour.sydney/,Vocal Big Room House To Deep,mainstage.ibizaclubnews.net,https://photos.bandsintown.com/thumb/9654045.jpeg
Thirsty Thursday Night Hour,KELLY ANN,"Aug 20th, 2020",https://www.facebook.com/kellyannmusic/,"Acoustic, Alternative Folk, Folk, Easy Listening",www.kellyannmusic.com,https://photos.bandsintown.com/thumb/10302698.jpeg
Live Stream Album Release,Ryan Leddick,"Aug 20th, 2020",,,Facebook,https://photos.bandsintown.com/thumb/8597608.jpeg
,Prateek,"Nov 22nd, 2020",https://www.facebook.com/prateekmusic/,,bit.ly,https://photos.bandsintown.com/thumb/8988350.jpeg
Live From The Hallway,Ella Marie Salter,"Oct 21st, 2020",,"Blues, Country, Rock, Americana",Facebook,https://photos.bandsintown.com/thumb/10008028.jpeg
,Prateek,"Nov 8th, 2020",https://www.facebook.com/prateekmusic/,,bit.ly,https://photos.bandsintown.com/thumb/8988350.jpeg
LIVING ZOOM SHOW,Say Hi,"Oct 2nd, 2020",https://www.facebook.com/umuhoh,"Indie Rock, Alternative, Indie Pop",www.sayhitoyourmom.com,https://photos.bandsintown.com/thumb/7458004.jpeg
,Matute,"Sep 12th, 2020",https://www.facebook.com/matutecolombia/,"Rock, Rocanrol",www.eticket.mx,https://photos.bandsintown.com/thumb/6597147.jpeg
Jam In Place - Martin Guitar,George Ducas,"Sep 29th, 2020",https://www.facebook.com/georgeducas1/,"Country, Traditional Country, Modern Country",ticketmaster.evyy.net,https://photos.bandsintown.com/thumb/10025762.jpeg
Huxleys Neue Welt - Strock.tv Livestream,TOR7,"Sep 24th, 2020",https://www.facebook.com/tor7band/,Rock,strock.tv,https://photos.bandsintown.com/thumb/8977814.jpeg
,Lloyd Maines,"Aug 28th, 2020",,"Texas Blues, Blues",ticketmaster.evyy.net,https://assets.bandsintown.com/images/fallbackImage.png
The Dropper // Album Release // August 26th,The Dropper,"Aug 26th, 2020",https://www.facebook.com/thedropperchicago/,Improvisational Progressive Rock,Facebook,https://photos.bandsintown.com/thumb/6254449.jpeg
,Marina V,"Aug 23rd, 2020",https://www.facebook.com/marinavmusic/,"Pop Rock, Singer & Songwriter, Russian, Folk, Electronic Pop Indie Rock, Pop",Twitch,https://photos.bandsintown.com/thumb/10391878.jpeg
"#DailyDash Live Stream @ Facebook, Instagram, Twitch, VK, YouTube & Mixcloud",Dash Berlin,"Aug 24th, 2020",https://www.facebook.com/DashBerlinOfficial1/,Music,Facebook,https://photos.bandsintown.com/thumb/10432132.jpeg
Lara Hope Trio - My Father's Place LIVE STREAM!,Lara Hope & The Ark-Tones,"Aug 20th, 2020",https://www.facebook.com/LaraHopeandTheArkTones/,,Facebook,https://photos.bandsintown.com/thumb/8980440.jpeg
Lena Hall Virtually Live ,LENA HALL,"Aug 20th, 2020",https://www.facebook.com/lenarockerhall/,"Soul, R&b, Punk, Rock, Alternative, Musical Theater, Pop, Acoustic",www.tickettailor.com,https://photos.bandsintown.com/thumb/10434327.jpeg
The Creekside Music Hall Show Brunch on DHLTV ,Scott Guberman,"Aug 22nd, 2020",https://www.facebook.com/ScottGubermanMusic/,"Rock & Beyond., Rock, Psychedelic Rock",Facebook,https://photos.bandsintown.com/thumb/8809008.jpeg
The Evening Booze with Chachi,CHACHI,"Aug 19th, 2020",https://www.facebook.com/ChachiOfficial/,"Edm, House, Deep House, Electronic",Twitch,https://photos.bandsintown.com/thumb/7258859.jpeg
,Stephanie Chin,"Aug 19th, 2020",https://facebook.com/soulfulsongbird,"Blues, Pop, Soul-blues, R&b, Soul",Facebook,https://photos.bandsintown.com/thumb/7038378.jpeg
,Noam Vazana,"Apr 4th, 2021",https://www.facebook.com/noamvazana/,"Anti-folk, Crossover Jazz, Jazz, World Fusion",noam-vazana.com,https://photos.bandsintown.com/thumb/9020375.jpeg
Version inédite virtuelle du concert Territoires ,Le Vent du Nord,"Sep 26th, 2020",https://www.facebook.com/LeVentduNord,"Folk, French Folk, Celtic, Progressive Folk, Quebecois",yoop.app,https://photos.bandsintown.com/thumb/9188663.jpeg
Nani online concert - 1st sunday of the month ,NANI,"Dec 6th, 2020",https://facebook.com/noamvazana,"Folk, Worldbeat, Crossover Jazz, Jazz-pop, Afro-beat",noam-vazana.com,https://photos.bandsintown.com/thumb/9020374.jpeg
Didirri ★ 'The Critic' Virtual World Tour - UK + Ireland★,Didirri,"Sep 16th, 2020",https://facebook.com/didirri,"Indie Pop, Indie Folk, Indie Rock",shops.ticketmasterpartners.com,https://photos.bandsintown.com/thumb/10475304.jpeg
Brothers Moving live streaming concert,Brothers Moving,"Sep 13th, 2020",https://www.facebook.com/brothersmoving/,"Reggae, Blues, Rock & Folk, Funk",Dice.fm,https://photos.bandsintown.com/thumb/10483363.jpeg
,Noam Vazana,"Oct 4th, 2020",https://www.facebook.com/noamvazana/,"Anti-folk, Crossover Jazz, Jazz, World Fusion",noam-vazana.com,https://photos.bandsintown.com/thumb/9020375.jpeg
LIVING ZOOM SHOW,Say Hi to Your Mom,"Sep 30th, 2020",https://www.facebook.com/Say-Hi-To-Your-Mom-103054203072339/,"Indie Rock, Electro Pop, Indie Pop, Alternative",www.sayhitoyourmom.com,https://photos.bandsintown.com/thumb/8797107.jpeg
Grex on Wednesday Night Live,grex,"Sep 10th, 2020",https://www.facebook.com/Grexsounds/,"Psychedelic, Art Rock, Free Jazz",YouTube,https://photos.bandsintown.com/thumb/8392084.jpeg
5@5 Instagram Live Show,Cynthia Lin,"Sep 2nd, 2020",,,Instagram,https://photos.bandsintown.com/thumb/215336.jpeg
,Wolf Loescher,"Aug 29th, 2020",https://fb.com/wololocomusic,"Celtic Folk, Celtic, Americana, Scottish Folk, Modern Folk, Americelticana, Irish Folk, Celtic Folk Rock",Facebook,https://photos.bandsintown.com/thumb/10418542.jpeg
YouTube Livestream,Corey Heuvel,"Aug 28th, 2020",https://facebook.com/coreyheuvel,"Rock, Blues, Pop, Acoustic",YouTube,https://photos.bandsintown.com/thumb/10387766.jpeg
,Zach Heckendorf,"Aug 27th, 2020",https://www.facebook.com/zachheckendorf/,"Folk, Pop, Acoustic, Rock, Songwriter, Singer, Country, Bluegrass",Facebook,https://photos.bandsintown.com/thumb/10432644.jpeg
PJ Panda Dance Party!,Bethany Becker,"Aug 28th, 2020",https://www.facebook.com/Bethany-Becker-807161999310574/,"Pop, Pop Country, Country Pop, Country",Facebook,https://photos.bandsintown.com/thumb/8794332.jpeg
Andy Plays the Beatles,Andrew Nolte Music,"Aug 27th, 2020",https://www.facebook.com/AndyNolteMusic/,"Jazz, Indie Folk, Folk",Facebook,https://photos.bandsintown.com/thumb/10462636.jpeg
,Al Schnier,"Aug 23rd, 2020",,Electronic,www.jambase.com,https://assets.bandsintown.com/images/fallbackImage.png
AIRWAVES,ESKEI83,"Aug 26th, 2020",https://www.facebook.com/ESKEI83/,"Hip Hop, Electronic, Trap, Future Bass, Dubstep, Bass Music",biglink.to,https://photos.bandsintown.com/thumb/10336377.jpeg
Afternoon Delight,CHACHI,"Aug 23rd, 2020",https://www.facebook.com/ChachiOfficial/,"Edm, House, Deep House, Electronic",Twitch,https://photos.bandsintown.com/thumb/7258859.jpeg
,German Montero,"Aug 22nd, 2020",,,www.eticket.mx,https://photos.bandsintown.com/thumb/258812.jpeg
,Jas Kayser,"Aug 23rd, 2020",https://facebook.com/jaskayser,"Afrobeat, Jazz, Modern Jazz",Ents24,https://photos.bandsintown.com/thumb/10210013.jpeg
,Makoto,"Aug 22nd, 2020",https://www.facebook.com/makoto.humanelements/,"Electronic, Funk, Drumnbass, Bass, Beyond, Drum, Jazz, Soul, House, Rnb-soul, R&b/soul",Ents24,https://photos.bandsintown.com/thumb/7997066.jpeg
,Noam Vazana,"Mar 7th, 2021",https://www.facebook.com/noamvazana/,"Anti-folk, Crossover Jazz, Jazz, World Fusion",noam-vazana.com,https://photos.bandsintown.com/thumb/9020375.jpeg
